Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2009","2009","hg/ha","211290","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2010","2010","hg/ha","340323","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2011","2011","hg/ha","329032","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2012","2012","hg/ha","195161","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2013","2013","hg/ha","247154","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2014","2014","hg/ha","308661","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2015","2015","hg/ha","296063","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2016","2016","hg/ha","313669","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2017","2017","hg/ha","307468","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2018","2018","hg/ha","283662","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2019","2019","hg/ha","280000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2020","2020","hg/ha","274225","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1961","1961","tonnes","29000","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1962","1962","tonnes","31000","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1963","1963","tonnes","35000","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1964","1964","tonnes","24000","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1965","1965","tonnes","21000","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1966","1966","tonnes","17000","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1967","1967","tonnes","16000","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1968","1968","tonnes","20000","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1969","1969","tonnes","22000","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1970","1970","tonnes","20000","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1971","1971","tonnes","13000","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1972","1972","tonnes","9100","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1973","1973","tonnes","11900","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1974","1974","tonnes","10000","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1975","1975","tonnes","10300","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1976","1976","tonnes","10800","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1977","1977","tonnes","9800","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1978","1978","tonnes","10100","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1979","1979","tonnes","10000","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1980","1980","tonnes","8900","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1981","1981","tonnes","6500","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1982","1982","tonnes","9000","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1983","1983","tonnes","10350","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1984","1984","tonnes","13692","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1985","1985","tonnes","10960","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1986","1986","tonnes","9800","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1987","1987","tonnes","10400","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1988","1988","tonnes","10400","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1989","1989","tonnes","11700","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1990","1990","tonnes","10600","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1991","1991","tonnes","10300","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1992","1992","tonnes","8100","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1993","1993","tonnes","8100","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1994","1994","tonnes","11500","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1995","1995","tonnes","11800","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1996","1996","tonnes","11500","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1997","1997","tonnes","9700","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1998","1998","tonnes","8000","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1999","1999","tonnes","13000","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2000","2000","tonnes","10800","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2001","2001","tonnes","15600","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2002","2002","tonnes","10900","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2003","2003","tonnes","7500","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2004","2004","tonnes","18500","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2005","2005","tonnes","14800","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2006","2006","tonnes","18200","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2007","2007","tonnes","15000","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2008","2008","tonnes","15600","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2009","2009","tonnes","13100","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2010","2010","tonnes","21100","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2011","2011","tonnes","20400","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2012","2012","tonnes","12100","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2013","2013","tonnes","15200","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2014","2014","tonnes","19600","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2015","2015","tonnes","18800","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2016","2016","tonnes","21800","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2017","2017","tonnes","21369","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2018","2018","tonnes","20140","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2019","2019","tonnes","19880","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2020","2020","tonnes","19470","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01343","Apricots","2018","2018","ha","0","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01343","Apricots","2019","2019","ha","0","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01343","Apricots","2020","2020","ha","0","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01343","Apricots","2018","2018","tonnes","0","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01343","Apricots","2019","2019","tonnes","0","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01343","Apricots","2020","2020","tonnes","0","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1961","1961","Head","89330","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1962","1962","Head","87543","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1963","1963","Head","85792","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1964","1964","Head","84076","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1965","1965","Head","82400","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1966","1966","Head","70000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1967","1967","Head","65000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1968","1968","Head","60000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1969","1969","Head","58000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1970","1970","Head","55000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1971","1971","Head","50000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1972","1972","Head","45000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1973","1973","Head","40000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1974","1974","Head","38000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1975","1975","Head","35682","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1976","1976","Head","34000","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1977","1977","Head","33000","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1978","1978","Head","30000","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1979","1979","Head","30000","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1980","1980","Head","28000","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1981","1981","Head","26000","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1982","1982","Head","23000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1983","1983","Head","20000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1984","1984","Head","19000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1985","1985","Head","18000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1986","1986","Head","17000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1987","1987","Head","16000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1988","1988","Head","15000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1989","1989","Head","14000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1990","1990","Head","13000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1991","1991","Head","6300","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1992","1992","Head","7000","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1993","1993","Head","7400","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1994","1994","Head","6800","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1995","1995","Head","6000","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1996","1996","Head","6600","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1997","1997","Head","6100","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1998","1998","Head","6500","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","1999","1999","Head","6500","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","2000","2000","Head","4400","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","2001","2001","Head","4300","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","2002","2002","Head","4100","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","2003","2003","Head","5200","T","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","2004","2004","Head","5100","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","2005","2005","Head","5077","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5111","Stocks","02132","Asses","2006","2006","Head","5880","T","Unofficial figure"
